PoiID	NEAR_X	NEAR_Y
206	558380.8278	1135335.221
207	557873.8215	1136090.777
208	557848.2754	1136116.551
209	584623.5246	1109524.906
210	586148.1906	1109861.058
211	586494.6205	1111242.21
212	586211.3511	1110610.796
213	586461.214	1110631.715
214	586482.3679	1110761.081
215	585643.4631	1109020.346
216	585210.9814	1110049.747
217	584617.3399	1109534.813
218	584607.4081	1109550.723
219	583471.3304	1105208.69
220	581779.0913	1103605.057
221	583376.4829	1100902.461
222	568329.1883	1117565.041
223	568222.2987	1117551.534
224	567888.0597	1117517.086
225	557686.419	1119110.003
226	556559.9004	1137393.583
227	555496.7905	1138578.358
228	555453.4981	1138667.542
229	583867.1935	1107368.762
230	582719.7406	1109518.721
231	586054.8711	1110975.608
232	585815.5753	1110780.428
233	585743.0555	1110724.013
234	585608.9777	1110405.955
235	585918.6708	1110429.801
236	583271.5143	1112755.319
237	584736.8372	1108157.793
238	586306.6792	1108921.503
239	580742.401	1104931.141
240	551919.7466	1139486.425
241	545209.9338	1132845.247
242	544017.9783	1131613.556
243	586942.9249	1110179.178
244	586118.6204	1109889.625
245	586116.3194	1109891.926
246	586936.6782	1107652.297
247	586953.6314	1107665.702
248	585081.5398	1110937.254
249	584464.8791	1111555.456
250	583506.5306	1112518.242
251	583573.6094	1112450.303
252	584470.509	1111549.788
253	584451.9361	1111568.489
254	586337.5295	1108916.899
255	586337.5295	1108916.899
256	586337.5295	1108916.899
257	586337.5295	1108916.899
258	586337.5295	1108916.899
259	580959.5945	1107450.61
260	586032.5795	1106981.064
261	585738.5164	1107388.034
262	585750.7667	1107344.955
263	586534.7779	1107324.744
264	585655.7333	1107693.839
265	585656.0581	1107692.654
266	585770.3744	1107276.002
267	583680.4496	1112343.521
268	583766.6403	1112258.461
269	586994.2709	1110196.674
270	586663.2361	1110130.437
271	586655.2215	1110295.852
272	586655.0942	1110296.108
273	586779.7054	1110208.475
274	586779.8213	1110208.441
275	586794.1424	1110204.326
276	586667.5854	1110147.886
277	586667.5854	1110147.886
278	586663.2472	1110130.481
279	586516.8675	1109865.003
280	586465.3845	1109813.826
281	581073.9341	1113672.192
282	584128.9378	1108262.297
283	584174.5845	1108316.835
284	584160.6645	1108300.296
285	584209.2684	1108358.044
286	584542.6046	1108756.753
287	584632.7796	1109510.08
288	584407.9831	1108596.511
289	584407.9831	1108596.511
290	584570.4912	1108789.12
291	584578.4432	1108798.349
292	584539.5413	1108753.198
293	584572.3381	1108791.263
294	584533.77	1108746.5
295	584514.2758	1108723.735
296	584511.7177	1108720.673
297	584763.4434	1109010.717
298	584693.7935	1109412.207
299	584640.1203	1108869.92
300	586667.5854	1110147.886
301	586292.1899	1109516.424
302	586289.9375	1109512.174
303	555714.4881	1138304.37
304	578799.142	1105138.798
305	584287.0592	1108450.47
306	584271.8169	1108432.36
307	583059.3262	1100961.746
308	583745.6115	1107276.814
309	586059.8531	1110529.434
310	586337.9071	1110885.521
311	586335.4753	1111131.453
312	586227.0214	1108933.214
313	584296.9329	1108462.201
314	584126.4435	1108259.309
315	584414.1645	1109797.883
316	586016.9189	1110499.821
317	585747.8983	1108989.62
318	583227.8342	1112799.268
319	584536.7576	1108749.967
320	584345.095	1108519.424
321	584519.159	1108729.542
322	585942.3381	1109135.093
323	585856.3675	1109136.079
324	584522.6927	1108437.309
325	584666.0431	1109456.795
326	584652.694	1109478.179
327	585651.9318	1112080.894
328	584568.2279	1109640.831
329	585105.7622	1107243.639
330	575819.653	1118701.731
331	584399.6562	1107837.743
332	584168.8775	1108310.054
333	584722.652	1108964.143
334	584742.0604	1108986.302
335	578043.6622	1116554.168
336	578120.1314	1116545.972
337	585135.9253	1110883.974
338	585151.9173	1110869.553
339	584971.6317	1111045.261
340	585026.3383	1110991.709
341	585691.5291	1107562.521
342	586697.6027	1107458.227
343	586541.0434	1107329.925
344	585770.6897	1107274.894
345	585722.4576	1107446.724
346	585691.6729	1107561.987
347	585593.2781	1107999.416
348	586317.2387	1106666.781
349	586332.1769	1106660.184
350	586346.2262	1106653.98
351	586228.1461	1106703.445
352	585950.8724	1106711.471
353	585419.6391	1106641.134
354	585356.1752	1106602.712
355	585243.0322	1106527.964
356	585201.6075	1106499.762
357	584064.5646	1107753.258
358	583653.9131	1107677.074
359	581108.1182	1113703.396
360	584594.5473	1108786.04
361	585747.6719	1110756.483
362	581203.0154	1113898.385
363	581858.1146	1114007.828
364	582644.5545	1109594.887
365	582709.1692	1109529.486
366	584661.0233	1109464.836
367	584922.4381	1111093.416
368	584141.3319	1108277.144
369	583348.7741	1109815.768
370	584081.0179	1107762.65
371	584138.9876	1107733.474
372	584033.3501	1107786.64
373	584048.0108	1107779.262
374	584279.1282	1110768.621
375	584275.4806	1110765.025
376	584326.2431	1110818.619
377	586234.6092	1106700.852
378	586264.1106	1106689.017
379	582612.8877	1109098.729
380	582546.7234	1109032.913
381	586233.7131	1109497.055
382	583617.1082	1110076.274
383	583644.5288	1110102.757
384	583777.5943	1110263.739
385	586511.3716	1110545.945
386	584571.0854	1111058.452
387	585024.268	1109547.361
388	584918.3443	1109220.807
389	585313.3931	1109449.91
390	586393.2508	1106633.213
391	584610.834	1108048.901
392	584941.7515	1108316.009
393	584943.755	1108317.732
394	584927.3379	1108325.933
395	584990.7123	1108359.571
396	585072.9978	1108454.379
397	584772.533	1108287.278
398	582432.7225	1108905.233
399	585841.8735	1108979.583
400	586273.6031	1108926.438
401	585977.3073	1109241.678
402	585009.6122	1111008.082
403	584975.6724	1111041.305
404	585061.8805	1110956.775
405	585534.682	1110565.557
406	585566.3086	1110592.733
407	585782.8965	1109004.788
408	583754.6333	1107284.852
409	584062.1185	1108182.875
410	584095.7667	1108222.774
411	584100.0354	1108227.836
412	584119.5851	1108251.093
413	582080.1421	1108551.77
414	586378.0033	1111158.175
415	586351.8356	1111141.91
416	585307.2454	1108657.041
417	585175.8173	1109956.851
418	584659.9139	1108869.733
419	584859.8917	1109151.45
420	585531.3645	1108828.566
421	585512.6867	1108811.514
422	585400.5058	1108713.263
423	585064.573	1109608.069
424	586135.4053	1109405.084
425	585600.302	1108891.501
426	584924.0588	1109234.228
427	583497.7922	1107514.621
428	579541.6249	1115656.235
429	583129.9722	1112897.052
430	580361.0922	1115061.409
431	578373.9698	1105125.12
432	578363.2285	1105082.108
433	578362.4946	1105080.804
434	578359.2934	1105075.117
435	584541.6478	1111028.011
436	584538.1528	1111024.397
437	584523.9853	1111009.747
438	584847.9157	1109107.163
439	577729.4113	1116587.862
440	583033.8088	1109503.087
441	587186.5928	1107860.358
442	586973.3046	1107681.258
443	586971.831	1107680.093
444	586971.938	1107680.178
445	585009.6935	1111474.868
446	583566.7885	1112457.211
447	584074.2702	1111947.836
448	584787.8666	1108262.573
449	584842.0842	1108230.175
450	582363.3006	1113025.475
451	584843.1135	1111301.588
452	584833.6397	1111292.061
453	584801.1708	1111278.759
454	584906.7348	1111108.788
455	584991.3372	1111471.42
456	584952.161	1111437.421
457	584742.3948	1111221.955
458	584882.0937	1111360.102
459	584965.7179	1111408.593
460	584856.8235	1111315.376
461	584850.0865	1111308.601
462	583126.8602	1107084.284
463	578794.6967	1108125.296
464	578065.8255	1116551.793
465	580737.6558	1107256.357
466	584130.8819	1108264.626
467	578155.9824	1114181.419
468	580907.4111	1107423.121
469	583501.719	1112523.115
470	583502.0092	1112522.821
471	585001.5385	1111015.986
472	579665.32	1115540.607
473	579660.0734	1115544.646
474	560389.6412	1131402.128
475	569090.8233	1117755.942
476	569907.6049	1118125.884
477	568068.8631	1117534.47
478	567901.7205	1117518.063
479	572323.9039	1117488.415
480	548725.2703	1118995.387
481	547525.9481	1115353.935
482	547218.1705	1115747.894
483	546998.5802	1116109.678
484	552770.9229	1125905.492
485	552650.4341	1125774.864
486	563506.8986	1129573.6
487	560346.2379	1126001.654
488	560342.7247	1125914.245
489	554524.1136	1114246.15
490	556569.9933	1128702.385
491	555902.3067	1128389.825
492	555759.9487	1128346.909
493	563406.5829	1129570.89
494	562009.0511	1113040.484
495	551869.0683	1114908.819
496	554064.2757	1114377.54
497	574059.6882	1117031.919
498	568229.595	1117552.706
499	570005.5254	1118136.213
500	575285.9927	1116692.53
501	572500.3092	1117439.901
502	569965.1626	1118135.935
503	564872.2035	1115270.024
504	546837.8341	1115953.118
505	561251.3417	1112697.638
506	558346.6133	1134987.738
507	557785.3106	1136180.068
508	563338.2116	1121571.92
509	561251.3417	1112697.638
510	561385.181	1112787.012
511	582242.5528	1106054.261
512	558188.1306	1106223.353
513	558656.0833	1105967.157
514	558749.0179	1105916.858
515	552337.5747	1107050.2
516	552090.4393	1107599.367
517	554192.9609	1107135.266
518	559141.6226	1113148.172
519	583656.3107	1112367.449
520	569458.3274	1117928.79
521	568188.4221	1117546.906
522	563949.8263	1114479.916
523	564216.4779	1114711.748
524	570652.8019	1109495.594
525	562545.1104	1113306.416
526	562382.7165	1104337.719
527	557623.2198	1106526.396
528	556713.2997	1136804.078
529	582239.1256	1106075.383
530	586036.3521	1109116.119
531	579298.4345	1106077.331
532	564638.0891	1124490.396
533	564366.44	1124308.306
534	575666.522	1116584.805
535	571273.3668	1113859.988
536	563083.7711	1122287.791
537	564266.5332	1124148.799
538	564187.9077	1124023.269
539	571189.7849	1113392.224
540	572273.7331	1117502.452
541	568999.3304	1117713.489
542	567879.9081	1117516.846
543	573497.1135	1113255.994
544	570958.4748	1111516.536
545	582044.1714	1104585.531
546	582230.4904	1106128.603
547	585749.5639	1107349.184
548	578836.9137	1105161.566
549	578546.1439	1104945.536
550	586887.7528	1105616.064
551	574112.2449	1109599.45
552	575509.7567	1108565.578
553	579512.2064	1109155.824
554	579520.8073	1109135.168
555	575765.9431	1108604.275
556	574680.871	1112660.375
557	578489.5093	1104912.216
558	584525.6602	1111011.479
559	580962.3356	1107453.021
560	579032.0408	1105930.132
561	585677.3786	1112087.821
562	585420.6372	1111873.652
563	574419.2071	1112788.987
564	585264.3681	1110753.028
565	585342.9438	1110377.031
566	582289.6421	1113628.212
567	583086.5358	1112943.126
568	583315.5472	1112711.016
569	579400.7894	1110949.737
570	584090.1404	1111930.97
571	586337.8381	1110885.677
572	577361.5531	1104455.32
573	586110.7309	1109380.192
574	586152.9842	1109421.951
575	586084.6738	1109356.444
576	585791.7761	1109091.929
577	585623.8752	1109166.326
578	585561.4321	1109234.066
579	586323.7806	1108934.932
580	586215.7578	1108934.826
581	584737.8021	1109341.117
582	578804.8385	1116252.764
583	570524.5142	1110755.132
584	572313.2033	1105719.031
585	579723.5421	1115495.786
586	579565.1377	1115617.73
587	580219.5846	1115141.869
588	580365.7721	1115058.252
589	546811.088	1116051.147
590	560308.6563	1125100.758
591	553409.6177	1140125.85
592	552510.6283	1139953.673
593	553220.1024	1140205.509
594	588271.6739	1106876.445
595	533667.0753	1120827.37
596	535090.3753	1122346.075
597	534516.1732	1121736.775
598	534522.5517	1121743.752
599	535294.5532	1122562.388
600	537558.8979	1124936.871
601	536902.6324	1124253.722
602	536718.9461	1124065.063
603	537905.4269	1125298.837
